1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.8,1.8,1.6,1.4,1.3,1.2
1.3,1.4,1.5,1.2,1.1,1.1,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.2
1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.1,0.3,0.2,0.0
0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.8,0.9
1.2,1.4,1.8,1.8,1.9,1.9,2.2,2.5,2.7,2.8,2.7,2.8,3.0,3.0,3.1
3.4,4.0,4.2,4.4,4.5,4.7,4.9,5.2,5.4,6.0,6.5,7.1,7.9,8.5,9.0
9.5,10.0,10.5,11.0,11.5,12.0,12.4,12.6,12.8,13.0,13.4,13.5,14.0,15.0,15.0
15.0,16.0,15.5,15.0,16.0,17.0,17.5,18.0,18.5,18.0,18.5,19.0,20.0,21.0,21.5
22.0,23.0,24.0,25.0,26.0,26.0,26.5,27.0,28.0,29.0,28.0,28.5,27.5,27.0,27.0
26.5,26.0,25.5,25.0,24.3,23.9,21.6,19.2,16.9,15.6,14.3,13.0,12.7,11.4,10.5
10.0,10.6,11.0,12.2,13.0,14.0,15.0,16.3,17.2,18.0,19.0,22.0,25.0,27.4,25.3
23.1,21.0,19.9,19.1,18.1,18.0,17.8,17.9,18.0,17.9,17.8,17.6,17.4,17.2,17.1
16.9,16.7,16.1,15.8,15.3,15.0,16.0,16.5,17.0,17.5,18.0,18.2,18.5,19.0,20.0
21.0,22.2,23.3,24.0,25.0,25.0,25.2,26.2,27.0,27.2,27.3,27.4,27.7,28.0,28.3
28.0,27.9,26.5,26.0,25.0,24.5,24.0,23.5,23.0,22.5,22.0,22.0,21.0,20.5,20.5
20.0,20.0,21.0,21.0,21.8,22.0,22.5,23.5,24.0,24.5,24.0,25.0,26.0,27.0,28.0
27.0,26.0,25.0,24.0,23.0,22.0,20.0,19.0,18.0,17.0,16.0,15.8,15.4,14.8,14.3
14.0,13.5,13.0,12.5,12.2,12.0,11.7,11.3,11.1,11.0,10.7,10.6,10.5,10.2,10.0
9.5,9.0,8.5,8.0,7.5,7.1,6.8,6.3,5.7,5.1,4.8,4.4,4.2,3.8,3.6
3.2,3.0,2.7,2.4,2.2,2.0,1.5,1.3,1.1,.9,.8,.7,.7,.6,.5
.4,.3,.2,.1,.0,.0,.1,.2,.1,.2,.0,.0,.0,.0,.0
.0,.0,.1,.1,.3,.5,.5,.6,.7,.7,.8,.9,1.1,1.3,1.4
1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.3,2.5,2.7,2.9,2.9,3.0,2.9,2.8
2.9,3.2,3.1,3.0,3.0,3.0,2.8,2.7,2.6,2.5,2.3,2.1,2.0,1.9,1.9
30.0,21.7,15.8,15.0,14.5,12.1,10.0,8.4,6.4,5.2,3.9,3.0,2.4,2.0,1.7
1.0,.8,.5,.3,.1,.0,.0,.0,.0,.0,.0,.0,.2,.4,.7
1.0,1.5,1.8,2.0,2.4,2.8,3.2,3.7,4.2,5.0,6.0,6.5,7.0,7.6,7.8
8.0,8.5,9.0,9.6,10.2,10.7,12.1,12.5,14.1,15.7,18.3,20.3,18.5,17.0,16.5
14.4,14.0,13.8,13.5,13.3,13.0,12.9,12.7,12.4,12.0,12.4,12.0,11.0,10.3,11.2
12.0,11.0,10.0,9.0,8.5,8.0,7.0,8.0,9.0,10.0,10.3,14.0,18.0,20.0,19.0
16.0
